Variable Name,Description,Prompt,Data Type,Permisible Values,Units,Required,Unique,CDE,"Comments (Optional, Form Collection Name)"
Internal ID,Identifier for the participant to whom the rest of the data belongs,,String,,,TRUE,TRUE,Identity,
Cohort,Participant's Cohort Group of 1; 2; 3; 4; 5,,Categorical,"1, 1; 2, 2; 3, 3; 4, 4; 5, 5",,TRUE,,,
PCR Test Positive,Participant's PCR test results,,Categorical,"0, No; 1, Yes",,FALSE,,,
PCR Test Date_DEID,Number of days from day of Consent when PCR Test Occurred,,Integer,De-identified Value in Days,Days,FALSE,,,
Consent Submission Date_DEID,This is considered as day 0 for all DEID dates,,Integer,De-identified Value in Days,Days,TRUE,,,
29789-consent_18yrs,Eligibility age of 18 or older,How old are you?,Categorical,"1, I am 18 or older; 2, I am under the age of 18",,TRUE,,,Consent
29790-consent_applies,COVID related eligibility,Which of the following statements below best applies to you?,Categorical,"1, I know I have recently been exposed to COVID-19 (in the last 14 days) or I am COVID Positive; 2, I have COVID-19 symptoms (things like sore throat, fever, cough, loss of smell or taste) or I am COVID Positive; 3, I have not been exposed to COVID-19 and I do not have any COVID-19 symptoms; 4, None of these descriptions apply to me",,TRUE,,,Consent
32985-consent_applies_cohort4,(Cohort 4 only) Demographics eligibility,What is your race?,Categorical,"1, White; 2, Black or African American; 3, Asian; 4, American Indian or Alaska Native; 5, Other; 6, None of the Above; 7, Prefer not to answer",,TRUE,,,Consent
29791-consent_english,English eligibility,Are you able to provide written consent in English?,Categorical,"1, Yes; 2, No",,TRUE,,,Consent
29792-consent_covid+,COVID related testing eligibility,Have you tested Positive for COVID-19 in the last 30 days?,Categorical,"1, Yes; 2, No",,TRUE,,,Consent
29793-consent_location,Site visit eligibility,"Will you be within the greater Richmond, VA area for the next 10 days?",Categorical,"1, Yes; 2, No",,TRUE,,,Consent
29794-consent_noeligble,"Ineligible, research follow-up opt-in",Based on the responses you have provided you are not eligible to be in this study. Would you like to be contacted for future research studies?,Categorical,"1, Please contact me for future research studies.; 2, Please do not contact me for future research studies.",,TRUE,,,Consent
32795-future_researchName,Participant Name for future research (not included for deidentification purposes),"If you would like to participate in furture research activiies, please provide your name:",Text,,,TRUE,,,Consent
32797-future_researchPhone,Participant Phone number for future research (not included for deidentification purposes),"If you would like to participate in furture research activiies, please provide your phone number:",Text,,,TRUE,,,Consent
32799-future_researchEmail,Participant Email for future research (not included for deidentification purposes),"If you would like to participate in furture research activiies, please provide your email address:",Text,,,TRUE,,,Consent
34683-consent_invited,Invited by Research Staff member,Have you been invited by study staff to participate in an in-person observation appointment?,Categorical,"1, Yes; 2, No",,TRUE,,,Consent
34684-consent_travel,Willingness to travel for observation,Are you willing to travel to VCU to complete an in-person observation appointment (about 2 hours long)?,Categorical,"1, Yes; 2, No",,TRUE,,,Consent
29826-storage_permission,Storage permission,I agree that my data may be stored and used for future research as described earlier.,Categorical,"1, Yes; 2, No",,TRUE,,,Consent
29829-consent,Consent/Agreement by participant,"If you select the ""Yes, I consent/agree to participate..."" option then you are indicating the following: You have read and you understand this consent and any questions you may have had were answered to your satisfaction. You freely consent to participate in this study and give your permission to have your data used as described in this consent.",Categorical,"1, YES, I consent/agree to participate in the COVID-CARE study and give the VCU my permission to use my data as described in this consent.; 2, NO, I decline to participate in the COVID-CARE study.",,TRUE,,,Consent
Shipment Confirmation Submission Date_DEID,"Number of days from day of Consent when Participant completed survey forms ""Confirm Your Shipping Address""",,Integer,De-identified Value in Days,Days,FALSE,,,
