source,target
30158-Symtpom_Neuro-7,PCR Test Positive
30766-pinkblue_confirm,PCR Test Positive
31386-covid_results-1,PCR Test Positive
31386-covid_results-2,PCR Test Positive
30183-states_specify-42,PCR Test Positive
30183-states_specify-33,PCR Test Positive
32137-vaccine_avail,PCR Test Positive
32138-vaccine_factors-13,PCR Test Positive
30158-Symtpom_Neuro-8,PCR Test Positive
30141-covid_tst_symptoms-3,PCR Test Positive
31396-join_hear-6,PCR Test Positive
30141-covid_tst_symptoms-6,PCR Test Positive
32138-vaccine_factors-17,PCR Test Positive
30141-covid_tst_symptoms-19,PCR Test Positive
30183-states_specify-39,PCR Test Positive
