variable,coefficient,abs_coef
30158-Symtpom_Neuro-7,1.0602825034853673,1.0602825034853673
30766-pinkblue_confirm,0.6479111932286798,0.6479111932286798
31386-covid_results-1,0.543570077234864,0.543570077234864
31386-covid_results-2,-0.38204904607690543,0.38204904607690543
30183-states_specify-42,0.36449199924036424,0.36449199924036424
30183-states_specify-33,0.3576463353809676,0.3576463353809676
32137-vaccine_avail,0.3511010965215312,0.3511010965215312
32138-vaccine_factors-13,0.32566775740370246,0.32566775740370246
30158-Symtpom_Neuro-8,0.3157756027245356,0.3157756027245356
30141-covid_tst_symptoms-3,0.3108548361599621,0.3108548361599621
31396-join_hear-6,0.2957852633919331,0.2957852633919331
30141-covid_tst_symptoms-6,0.2956145544315122,0.2956145544315122
32138-vaccine_factors-17,0.29118292713708405,0.29118292713708405
30141-covid_tst_symptoms-19,-0.28226058415204613,0.28226058415204613
30183-states_specify-39,0.2774136119093199,0.2774136119093199
30153-Symptoms-2,0.2737978611296861,0.2737978611296861
32359-blue_nopink_confirm_2,-0.27373084373746825,0.27373084373746825
30121-Dressing,0.2671745846233648,0.2671745846233648
30103-conditionsrisks-6,0.26338860982312295,0.26338860982312295
29829-consent__X__32730-howreceive,0.25536001463944175,0.25536001463944175
29789-consent_18yrs__X__32730-howreceive,0.25536001463944175,0.25536001463944175
29791-consent_english__X__32730-howreceive,0.25536001463944175,0.25536001463944175
29793-consent_location__X__32730-howreceive,0.25536001463944175,0.25536001463944175
32730-howreceive,0.25536001463944175,0.25536001463944175
30103-conditionsrisks-22,0.25221087410588344,0.25221087410588344
30138-COVID_Why-5,0.2478250502186852,0.2478250502186852
31356-past12_recommended-1,-0.22417041341888633,0.22417041341888633
30153-Symptoms-6,0.21358944033689853,0.21358944033689853
30167-Mask,0.19830745731538604,0.19830745731538604
32350-blueline_results_2,-0.19710325538835216,0.19710325538835216
29792-consent_covid+__X__32730-howreceive,-0.1962770617826304,0.1962770617826304
30769-blue_nopink_confirm,-0.19207507874866808,0.19207507874866808
29792-consent_covid+,-0.17815249460212523,0.17815249460212523
29792-consent_covid+__X__29829-consent,-0.17815249460212523,0.17815249460212523
29791-consent_english__X__29792-consent_covid+,-0.17815249460212523,0.17815249460212523
29792-consent_covid+__X__29793-consent_location,-0.17815249460212523,0.17815249460212523
29791-consent_english__X__29792-consent_covid+__X__29793-consent_location,-0.17815249460212523,0.17815249460212523
29789-consent_18yrs__X__29792-consent_covid+__X__29793-consent_location,-0.17815249460212523,0.17815249460212523
29789-consent_18yrs__X__29791-consent_english__X__29792-consent_covid+,-0.17815249460212523,0.17815249460212523
29789-consent_18yrs__X__29792-consent_covid+,-0.17815249460212523,0.17815249460212523
32138-vaccine_factors-9,0.17627194856499312,0.17627194856499312
30103-conditionsrisks-7,0.17361744637272528,0.17361744637272528
30141-covid_tst_symptoms-31,0.16616321296721973,0.16616321296721973
30118-Blind,-0.1661390435048586,0.1661390435048586
32730-howreceive__X__29871-KitReceived_response,0.1649156915558392,0.1649156915558392
30166-Prev_exposure-999,0.16466629274112496,0.16466629274112496
33469-_Height_Success,-0.1587962822846764,0.1587962822846764
33480-_Weight_Success,-0.1587962822846764,0.1587962822846764
30156-Symptom_GI-3,-0.15422440859226297,0.15422440859226297
29826-storage_permission,-0.14277127863736294,0.14277127863736294
30119-Concentrating,-0.1420577922135579,0.1420577922135579
30141-covid_tst_symptoms-4,0.14171074985888235,0.14171074985888235
31344-devices_own-2,-0.13996978601979537,0.13996978601979537
30166-Prev_exposure-1,-0.13904903753449852,0.13904903753449852
30154-Symptoms_Resp-3,0.13879577538160834,0.13879577538160834
31346-past12mo_tech-3,-0.12283046521166759,0.12283046521166759
32356-pinkblue_confirm_2,0.12260959665763121,0.12260959665763121
36104-Post_vaccinefactors-8,0.11283078697943533,0.11283078697943533
30156-Symptom_GI-5,0.1120810423346026,0.1120810423346026
30160-Symptom_Inflamm-2,0.11116730455716604,0.11116730455716604
31346-past12mo_tech-2,-0.10945771448452246,0.10945771448452246
30086-Gender-2,-0.10260579902488871,0.10260579902488871
31396-join_hear-5,-0.09681832064375445,0.09681832064375445
30141-covid_tst_symptoms-16,0.09533206656837158,0.09533206656837158
30103-conditionsrisks-20,-0.09246570497451878,0.09246570497451878
31356-past12_recommended-2,-0.09190816243913685,0.09190816243913685
32603-Symptoms_Ill_16,-0.09116628283678359,0.09116628283678359
36097-Post_vaccinelikely,0.09032372326638376,0.09032372326638376
30141-covid_tst_symptoms-11,0.08543956793543846,0.08543956793543846
30154-Symptoms_Resp-1,-0.08270752160373941,0.08270752160373941
32138-vaccine_factors-1,-0.08056963810179438,0.08056963810179438
32730-howreceive__X__32150-preferred_time,0.08016067505304766,0.08016067505304766
30103-conditionsrisks-19,0.07949111845954594,0.07949111845954594
30150-flu_tst_symptoms-3,-0.07816632491701815,0.07816632491701815
31396-join_hear-1,-0.07784689846411384,0.07784689846411384
30086-Gender-1,0.07323981667173973,0.07323981667173973
30103-conditionsrisks-16,0.07105402649562693,0.07105402649562693
30138-COVID_Why-4,0.07094733542155096,0.07094733542155096
36104-Post_vaccinefactors-3,0.06680836233627209,0.06680836233627209
32730-howreceive__X__29858-Shipping_placement,0.06631366960612255,0.06631366960612255
32310-testkit_performing_2,-0.064586290751615,0.064586290751615
36104-Post_vaccinefactors-4,0.06265395456567104,0.06265395456567104
30103-conditionsrisks-5,0.0626336263830435,0.0626336263830435
30082-Race-2,0.06228045811917228,0.06228045811917228
29791-consent_english__X__32150-preferred_time,0.062240236823914996,0.062240236823914996
29793-consent_location__X__32150-preferred_time,0.062240236823914996,0.062240236823914996
29829-consent__X__32150-preferred_time,0.062240236823914996,0.062240236823914996
32150-preferred_time,0.062240236823914996,0.062240236823914996
29789-consent_18yrs__X__32150-preferred_time,0.062240236823914996,0.062240236823914996
30075-Other_household__X__30081-general_health,-0.05853557035374994,0.05853557035374994
32730-howreceive__X__30075-Other_household,-0.05788253595700926,0.05788253595700926
32612-Symptoms_Ill_25,0.05411784963354789,0.05411784963354789
32616-Symptoms_Ill_29,-0.053107743069974435,0.053107743069974435
32138-vaccine_factors-10,0.05243614476044206,0.05243614476044206
32730-howreceive__X__32135-annual_income,0.051665907589458666,0.051665907589458666
30153-Symptoms-4,-0.05050260106953391,0.05050260106953391
30166-Prev_exposure-2,0.0502338186902374,0.0502338186902374
29789-consent_18yrs__X__29790-consent_applies__X__29793-consent_location,-0.05015728211202163,0.05015728211202163
29789-consent_18yrs__X__29790-consent_applies__X__29791-consent_english,-0.05015728211202163,0.05015728211202163
29790-consent_applies__X__29793-consent_location,-0.05015728211202163,0.05015728211202163
29790-consent_applies,-0.05015728211202163,0.05015728211202163
29790-consent_applies__X__29829-consent,-0.05015728211202163,0.05015728211202163
29789-consent_18yrs__X__29790-consent_applies,-0.05015728211202163,0.05015728211202163
29790-consent_applies__X__29791-consent_english__X__29793-consent_location,-0.05015728211202163,0.05015728211202163
29790-consent_applies__X__29791-consent_english,-0.05015728211202163,0.05015728211202163
30170-Flu_shot,0.05010795240191564,0.05010795240191564
30107-alcohol_consume,0.05009952330782594,0.05009952330782594
30154-Symptoms_Resp-2,0.04996296633675697,0.04996296633675697
30772-noblue_confirm,-0.04973174443679188,0.04973174443679188
30103-conditionsrisks-8,-0.049514893799522716,0.049514893799522716
30150-flu_tst_symptoms-23,0.049223175207716525,0.049223175207716525
30150-flu_tst_symptoms-10,0.049223175207716525,0.049223175207716525
30150-flu_tst_symptoms-21,0.049223175207716525,0.049223175207716525
30150-flu_tst_symptoms-30,0.049223175207716525,0.049223175207716525
30141-covid_tst_symptoms-7,-0.045413458611944464,0.045413458611944464
31393-join_why-9,0.045201527199933984,0.045201527199933984
30713-Height_Inches,0.04478726728157015,0.04478726728157015
30085-Ethnicity,-0.04326535729291299,0.04326535729291299
31346-past12mo_tech-998,-0.041855603817042446,0.041855603817042446
30123-ColorBlind,-0.04158809332187507,0.04158809332187507
29790-consent_applies__X__30075-Other_household,-0.04115942414072129,0.04115942414072129
32138-vaccine_factors-8,0.04110265497361866,0.04110265497361866
30120-Walking,-0.04080886955083409,0.04080886955083409
30155-Symptom_Resp_other,0.03993072067685135,0.03993072067685135
31396-join_hear-2,-0.0397178743367588,0.0397178743367588
30141-covid_tst_symptoms-21,0.03858012758424666,0.03858012758424666
30103-conditionsrisks-9,0.037837335916511686,0.037837335916511686
31402-research_compare,-0.03685326815926706,0.03685326815926706
30154-Symptoms_Resp-4,0.036404084527597094,0.036404084527597094
32138-vaccine_factors-999,0.03625789736439913,0.03625789736439913
32592-Symptoms_Ill_5,0.03593681437284667,0.03593681437284667
