concept_code,target_concept_code,concept_tier,target_tier,n11,n10,n01,n00,support_both,odds_ratio,log_odds_ratio,phi,p_target_given_code,p_target_given_no_code,n_code_before_target_final,n_target_before_code_final
30082-Race-1,30082-Race-2,0,0,20,385,333,45,0.02554278416347382,0.007255127300163148,-4.926046846257796,-0.8351230471751013,0.04938271604938271,0.8809523809523809,385,333
30082-Race-1,30082-Race-3,0,0,3,402,27,351,0.0038314176245210726,0.11114624505928854,-2.1969084217850563,-0.16666287227705068,0.007407407407407408,0.07142857142857142,402,27
30082-Race-1,30082-Race-4,0,0,7,398,6,372,0.008939974457215836,1.0785638451886883,0.07563038323001776,0.005517766280974487,0.01728395061728395,0.015873015873015872,398,6
30082-Race-1,30082-Race-5,0,0,0,405,2,376,0.0,0.18569667077681873,-1.6836407387496197,-0.052380675235255754,0.0,0.005291005291005291,405,2
30082-Race-1,30082-Race-6,0,0,2,403,11,367,0.002554278416347382,0.19799579764021336,-1.6195094725521615,-0.09449174756168809,0.0049382716049382715,0.0291005291005291,403,11
30082-Race-1,30082-Race-998,0,0,0,405,4,374,0.0,0.10261679682148239,-2.276753647934413,-0.0741724933852587,0.0,0.010582010582010581,405,4
30082-Race-1,30082-Race-999,0,0,0,405,3,375,0.0,0.13228818037695966,-2.0227725514065913,-0.06419407387663693,0.0,0.007936507936507936,405,3
30082-Race-1,30086-Gender-1,0,0,132,273,110,268,0.1685823754789272,1.177173724221794,0.16311641655535286,0.03776149912211246,0.32592592592592595,0.291005291005291,273,110
30082-Race-1,30086-Gender-2,0,0,272,133,266,112,0.34738186462324394,0.8616691612032802,-0.1488838856984298,-0.034592946930568406,0.671604938271605,0.7037037037037037,133,266
30082-Race-1,30086-Gender-3,0,0,4,401,4,374,0.005108556832694764,0.9327521793275217,-0.06961573042954225,-0.003505536546997459,0.009876543209876543,0.010582010582010581,401,4
30082-Race-1,30086-Gender-5,0,0,1,404,0,378,0.001277139208173691,2.80716934487021,1.0321766250470668,0.034547371631073694,0.0024691358024691358,0.0,404,0
30082-Race-1,30086-Gender-999,0,0,0,405,0,378,0.0,0.9334155363748459,-0.06890480067796415,,0.0,0.0,405,0
30082-Race-1,30103-conditionsrisks-10,0,2,9,396,5,373,0.011494252873563218,1.6270778401925943,0.4867856698660392,0.03391824251002427,0.022222222222222223,0.013227513227513227,9,0
30082-Race-1,30103-conditionsrisks-13,0,2,37,368,29,349,0.04725415070242656,1.2056435848492515,0.1870135196750647,0.026329153677847248,0.09135802469135802,0.07671957671957672,37,0
