concept_code,target_concept_code,n_code_target
30160-Symptom_Inflamm-1,31386-covid_results-2,584
31405-skipped_why-4,31386-covid_results-2,582
bin_32136-vaccine_didyou,bin_30171-COVID_vaccine,577
bin_30171-COVID_vaccine,bin_32136-vaccine_didyou,577
31344-devices_own-3,31386-covid_results-2,576
31344-devices_own-3,31405-skipped_why-4,562
31405-skipped_why-4,30160-Symptom_Inflamm-1,562
31405-skipped_why-4,31344-devices_own-3,562
30160-Symptom_Inflamm-1,31405-skipped_why-4,562
30160-Symptom_Inflamm-1,31344-devices_own-3,559
31344-devices_own-3,30160-Symptom_Inflamm-1,559
30160-Symptom_Inflamm-1,30156-Symptom_GI-1,543
30156-Symptom_GI-1,30160-Symptom_Inflamm-1,543
30153-Symptoms-1,30160-Symptom_Inflamm-1,535
30160-Symptom_Inflamm-1,30153-Symptoms-1,535
30160-Symptom_Inflamm-1,30166-Prev_exposure-1,532
30166-Prev_exposure-1,30160-Symptom_Inflamm-1,532
bin_30171-COVID_vaccine,30160-Symptom_Inflamm-1,530
bin_32136-vaccine_didyou,30160-Symptom_Inflamm-1,527
bin_30171-COVID_vaccine,31386-covid_results-2,517
bin_32136-vaccine_didyou,31386-covid_results-2,513
30166-Prev_exposure-1,31386-covid_results-2,512
30156-Symptom_GI-1,31386-covid_results-2,512
30158-Symtpom_Neuro-1,30160-Symptom_Inflamm-1,506
30160-Symptom_Inflamm-1,30158-Symtpom_Neuro-1,506
30153-Symptoms-1,31386-covid_results-2,505
bin_30171-COVID_vaccine,31344-devices_own-3,498
bin_32136-vaccine_didyou,31344-devices_own-3,497
31344-devices_own-1,31386-covid_results-2,494
30153-Symptoms-1,30156-Symptom_GI-1,493
30156-Symptom_GI-1,30153-Symptoms-1,493
bin_30171-COVID_vaccine,31405-skipped_why-4,492
31405-skipped_why-4,30166-Prev_exposure-1,489
30166-Prev_exposure-1,31405-skipped_why-4,489
bin_32136-vaccine_didyou,31405-skipped_why-4,489
31344-devices_own-3,30156-Symptom_GI-1,487
30156-Symptom_GI-1,31344-devices_own-3,487
31344-devices_own-3,30166-Prev_exposure-1,487
30166-Prev_exposure-1,31344-devices_own-3,487
31405-skipped_why-4,31344-devices_own-1,486
31344-devices_own-1,31405-skipped_why-4,486
30156-Symptom_GI-1,31405-skipped_why-4,486
31405-skipped_why-4,30156-Symptom_GI-1,486
31344-devices_own-1,31344-devices_own-3,481
31344-devices_own-3,31344-devices_own-1,481
31405-skipped_why-4,30153-Symptoms-1,481
30153-Symptoms-1,31405-skipped_why-4,481
30156-Symptom_GI-1,30158-Symtpom_Neuro-1,479
30158-Symtpom_Neuro-1,30156-Symptom_GI-1,479
30153-Symptoms-1,31344-devices_own-3,478
31344-devices_own-3,30153-Symptoms-1,478
30158-Symtpom_Neuro-1,31386-covid_results-2,478
30153-Symptoms-1,30158-Symtpom_Neuro-1,476
30158-Symtpom_Neuro-1,30153-Symptoms-1,476
30166-Prev_exposure-1,30156-Symptom_GI-1,474
30160-Symptom_Inflamm-1,31344-devices_own-1,474
31344-devices_own-1,30160-Symptom_Inflamm-1,474
30156-Symptom_GI-1,30166-Prev_exposure-1,474
bin_30171-COVID_vaccine,30156-Symptom_GI-1,472
bin_32136-vaccine_didyou,30156-Symptom_GI-1,471
30154-Symptoms_Resp-1,30160-Symptom_Inflamm-1,469
30160-Symptom_Inflamm-1,30154-Symptoms_Resp-1,469
bin_30171-COVID_vaccine,30166-Prev_exposure-1,468
30153-Symptoms-1,30166-Prev_exposure-1,464
30166-Prev_exposure-1,30153-Symptoms-1,464
bin_32136-vaccine_didyou,30166-Prev_exposure-1,463
30086-Gender-2,30160-Symptom_Inflamm-1,455
bin_30171-COVID_vaccine,30153-Symptoms-1,449
bin_32136-vaccine_didyou,30153-Symptoms-1,448
31405-skipped_why-4,30158-Symtpom_Neuro-1,448
30158-Symtpom_Neuro-1,31405-skipped_why-4,448
30153-Symptoms-1,30154-Symptoms_Resp-1,447
30154-Symptoms_Resp-1,30153-Symptoms-1,447
30158-Symtpom_Neuro-1,31344-devices_own-3,446
31344-devices_own-3,30158-Symtpom_Neuro-1,446
31393-join_why-2,31386-covid_results-2,442
